Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0113","Rice","2021","2021","100 g/ha","45709","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1961","1961","100 g/ha","8951","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1962","1962","100 g/ha","9422","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1963","1963","100 g/ha","7791","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1964","1964","100 g/ha","7113","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1965","1965","100 g/ha","8520","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1966","1966","100 g/ha","8804","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1967","1967","100 g/ha","9098","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1968","1968","100 g/ha","7811","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1969","1969","100 g/ha","6680","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1970","1970","100 g/ha","5719","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1971","1971","100 g/ha","7097","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1972","1972","100 g/ha","6440","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1973","1973","100 g/ha","7529","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1974","1974","100 g/ha","10109","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1975","1975","100 g/ha","9618","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1976","1976","100 g/ha","9502","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1977","1977","100 g/ha","10041","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1978","1978","100 g/ha","11302","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1979","1979","100 g/ha","14103","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1980","1980","100 g/ha","8946","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1981","1981","100 g/ha","11111","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1982","1982","100 g/ha","8515","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1983","1983","100 g/ha","9756","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1984","1984","100 g/ha","12000","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1985","1985","100 g/ha","7600","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1986","1986","100 g/ha","5831","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1987","1987","100 g/ha","6117","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1988","1988","100 g/ha","6667","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1989","1989","100 g/ha","7500","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1990","1990","100 g/ha","7143","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0114","Sorghum","1991","1991","100 g/ha","6911","A","Official figure"
